old_name,keep_name,confidence,note
Mohamed Kanno,M. Kanno,مؤكد,محمد كنو — الهلال
S. Al Shehri,Saleh Al Shehri,مؤكد,صالح الشهري
S. Ameer,Saad Abdul Ameer,مؤكد,سعد عبدالأمير
Sattar Yaseen,S. Yaseen,مؤكد,ستار ياسين
T. Al Ammar,Turki Al Ammar,مؤكد,تركي العمار
Waleed Al Ahmad,W. Al Ahmad,مؤكد,وليد الأحمد
Ali Al Bulayhi,A. Al Bulayhi,مؤكد,علي البليهي — الهلال
Amouri Faisal,A. Faisal,مؤكد,عموري فيصل
H. Al Hammami,Hammam Al Hammami,مؤكد,همام الحمامي
I. Bayesh,Ibrahim Bayesh,مؤكد,إبراهيم بايش
Mohammad Dawood,Mohammed Dawood,مؤكد,محمد داوود — إملاء مختلف
Saeed Al Rubaie,S. Al Rubaie,مؤكد,سعيد الربيعي
A. Al Othman,Abdulaziz Al Othman,مؤكد,عبدالعزيز العثمان
C. Kouvouama,C. M. Kouvouama,مؤكد,كوفواما
D. Pereira,Danilo Pereira,مؤكد,دانيلو بيريرا
Fahad Al Zubaidi,F. Al Zubaidi,مؤكد,فهد الزبيدي
M. Abdulraheem,Mohannad Abdulraheem,مؤكد,مهند عبدالرحيم
M. Al Shwirekh,Mohammed Al Shwirekh,مؤكد,محمد الشويرخ
R. Al Alawi,Rabia Al Alawi,مؤكد,ربيع العلوي
S. Jasim,Sajjad Jasim,مؤكد,سجاد جاسم
Younes Ghani,Y. Ghani,مؤكد,يونس غني
A. S. Al Aliwa,A. Al Aliwa,مؤكد,العليوة
H. Malek,Husam Malek,مؤكد,حسام مالك
Mohammed Abu Al Shamat,M. Abu Al Shamat,مؤكد,محمد أبو الشامات
M. Adnan,Mohammad Adnan,مؤكد,محمد عدنان
Muhannad Al Shanqiti,M. Al Shanqiti,مؤكد,مهند الشنقيطي
M. Mousa,Muslim Mousa,مؤكد,مسلم موسى
Ruslan Hanoon,R. Hanoon,مؤكد,رسلان حنون
S. Al Abbas,Saleh Al Abbas,مؤكد,صالح العباس
Safaa Hadi,S. Hadi,مؤكد,صفاء هادي
A. Khalil,Ali Khalil,مؤكد,علي خليل
A. Medran,Álvaro Medrán,مؤكد,ألفارو ميدران
Abbas Yas,A. Yas,مؤكد,عباس ياس
A. Yaseen,Ahmad Yaseen,مؤكد,أحمد ياسين
D. Al Anazi,Dhari Al Anazi,مؤكد,ضاري العنزي
Jorge Fernandes,J. Fernandes,مؤكد,خورخي فرنانديز
M. Al Qahtani,Mohammed Al Qahtani,مؤكد,محمد القحطاني
Musab Jamal,M. Jamal,مؤكد,مصعب جمال
Mohammad Qasem,M. Qasem,مؤكد,محمد قاسم
Muhammad Sawan,M. Sawan,مؤكد,محمد سوان
Morad Khodari,Mourad Khodari,مؤكد,مراد خضري — إملاء مختلف
N. Abdou Aziz,N. A. Aziz,مؤكد,عبدو عزيز
N. Asiri,Naif Asiri,مؤكد,نايف عسيري
R. Hajem,Reda Hajem,مؤكد,رضا حاجم
Ali Abdullah Hazazi,A. A. Hazazi,مؤكد,علي عبدالله حزازي
Abdullah Al Anazi,A. Al Anazi,مؤكد,عبدالله العنزي
Ali Al Masoud,A. Al Masoud,مؤكد,علي المسعود
Bassam Al Hurayji,B. Al Hurayji,مؤكد,بسام الحريجي
Harwan Al Zubaidi,H. Al Zubaidi,مؤكد,هروان الزبيدي
Hussain Jassem,H. Jassem,مؤكد,حسين جاسم
Karar Jasem Mohammd,K. J. Mohammd,مؤكد,كرار جاسم محمد
Murad Al Hawsawi,M. Al Hawsawi,مؤكد,مراد الهوساوي
Madallah Al Olayan,M. Al Olayan,مؤكد,مدلله العليان
Mojtaba Saleh,M. Saleh,مؤكد,مجتبى صالح
Osama Rashid,O. Rashid,مؤكد,أسامة رشيد
Redha Fadel,R. Fadel,مؤكد,رضا فاضل
Rastgo Fariq,R. Fariq,مؤكد,رستكو فاريق
Saleh Abu Al Shamat,S. Abu Al Shamat,مؤكد,صالح أبو الشامات
Salem Ahmed,S. Ahmed,مؤكد,سالم أحمد
