priority,goals,league,team_ar,player_en,player_ar,player_id,team_id
F1,97,,سيراميكا كليوباترا,Hussein Sayed,حسين السيد,44566,
F1,97,,حسنية أكادير,F. Bendahmane,فتح الله بن دحمان,325320,
F1,97,,الشحانية,Yousef Hani Ballan,يوسف هاني بلان,42277,
F1,97,,الوكرة,Nasser Al Yazidi,ناصر اليزيدي,42084,
F1,97,,الوكرة,Tameem Al Muhaza,تميم المهيزع,2529,
F1,97,,خورفكان,Aylton Boa Morte,أيلتون بوا مورتي,41370,
F1,96,,الإسماعيلي,Mohamed Abdel Samiae,محمد عبد السميع,318316,
F1,96,,الإسماعيلي,Mohamed Khatary,محمد خطاري,473418,
F1,96,,البنك الأهلي,Mahmoud Sayed,محمود سيد,17077,
F1,96,,زد,Mostafa Al Aash,مصطفى العش,334713,
F1,96,,زد,Ali Lotfi,علي لطفي,16798,
F1,96,,طلائع الجيش,Ahmed Ayman Mansour,أحمد أيمن منصور,2655,
F1,96,,اتحاد يعقوب المنصور,S. Ahannach,سفيان أحناش,93168,
F1,96,,الدفاع الحسني,O. Arjoune,عمر العرجون,36594,
F1,96,,المغرب الفاسي,E. Brija,عماد بريجة,269561,
F1,96,,حسنية أكادير,Joyce Katulondi,جويس كاتولوندي,383190,
F1,96,,قطر,Ali Awad,علي عوض,42420,
F1,96,,شباب الأهلي,A. Gʻaniyev,عزيزجون غانييف,73520,
F1,96,,شباب الأهلي,Igor Jesus,إيغور جيسوس,9366,
F1,95,,الإسماعيلي,Mohamed Abdelsamia,محمد عبد السميع,318316,
F1,95,,الاتحاد السكندري,Amr Saleh,عمرو صالح,17131,
F1,95,,الاتحاد السكندري,Abdelghani Mohamed,عبد الغني محمد,269278,
F1,95,,الجونة,Ahmed Hossam,أحمد حسام,318315,
F1,95,,الداخلية,Mohab Yasser,مهاب ياسر,17353,
F1,95,,الداخلية,Ahmed Emad,أحمد عماد,405857,
F1,95,,الزمالك,Nabil Emad Dunga,نبيل عماد دونجا,2660,
F1,95,,الشرقية إنبي,Ahmed Amin Oufa,أحمد أمين أوفا,295633,
F1,95,,المصري,Khaled Sobhi,خالد صبحي,17032,
F1,95,,بيراميدز,Walid El Karti,وليد الكرتي,2714,
F1,95,,سموحة,Mido Mostafa,ميدو مصطفى,342744,
F1,95,,الجيش الملكي,R. Slim,رضا سليم,144878,
F1,95,,العربي,I. Lihadji,إسحاق لياجي,129688,
F1,95,,النصر الإماراتي,Gustavo Alemão,جوستافو أليماو,157837,
F1,95,,الوحدة الإماراتي,Tahnoon Al Zaabi,طحنون الزعابي,50388,
F1,94,,الأهلي المصري,Mohamed Magdy Afsha,محمد مجدي أفشة,16843,
F1,94,,الإسماعيلي,Hatem Mohamed,حاتم محمد,269276,
F1,94,,البنك الأهلي,S. Simporé,سعيدو سيمبوري,16898,
F1,94,,الجونة,F. Akem,فرانك أكيم,405860,
F1,94,,الداخلية,Moaz El Henawy,معاذ الحناوي,17094,
F1,94,,الشرقية إنبي,Ziad Kamal,زياد كمال,179688,
F1,94,,حرس الحدود,Ibrahim Abdel Hakeem,إبراهيم عبد الحكيم,482018,
F1,94,,سموحة,Islam Gaber,إسلام جابر,2661,
F1,94,,طلائع الجيش,Omar Radwan,عمر رضوان,17023,
F1,94,,الريان,Rodrigo Tabata,رودريغو تاباتا,42158,
F1,94,,العربي,Abdulla Al Sulaiti,عبد الله السليطي,182423,
F1,94,,الغرافة,Joselu,خوسيلو,18907,
F1,94,,الشارقة,Khaled Ebraheim,خالد إبراهيم,50372,
F1,94,,الوحدة الإماراتي,Abdulla Hamad,عبد الله حمد,134967,
F1,94,,دبا الحصن,Abdullah Khamis Juma,عبد الله خميس جمعة,50514,
F1,93,,الشرقية إنبي,Ahmed Sebiha,أحمد صبيحة,135362,
F1,93,,المقاولون العرب,Louay Wael,لؤي وائل,17025,
F1,93,,أولمبيك آسفي,H. Moujahid,حمزة مجاهد,143835,
F1,93,,المغرب الفاسي,Z. Hamadi,زكرياء حمادي,100537,
F1,93,,الشارقة,Khalid Bawazir,خالد باوزير,50577,
F1,93,,الوحدة الإماراتي,Abdullah Al Karbi,عبد الله الكربي,101597,
F1,92,,الجونة,Ahmed Abdelrasoul,أحمد عبد الرسول,17191,
F1,92,,الشرقية إنبي,Ahmed Hawash,أحمد حواش,384483,
F1,92,,بيراميدز,Ahmed El-Shenawy,أحمد الشناوي,2648,
F1,92,,بيراميدز,Fiston Mayele,فيستون مايلي,179699,
F1,92,,سموحة,A. Liadi,أبوبكر ليادي,354805,
F1,92,,غزل المحلة,Amer Mohamed,عامر محمد,17087,
F1,92,,مودرن سبورت,J. Ngwem,جوزيف نغويم,17031,
F1,92,,اتحاد طنجة,A. El Harrak,أسامة الحراق,184004,
F1,92,,الفتح,S. Tazi,صلاح الدين التازي,457102,
F1,92,,قطر,Sebastián Soria,سباستيان سوريا,42166,
F1,92,,اتحاد كلباء,Sultan Al Mantheri,سلطان المنذري,50506,
F1,92,,الوصل,Faris Khalil,فارس خليل,50516,
F1,91,,الشرقية إنبي,Mostafa Dowidar,مصطفى دويدار,17226,
F1,91,,زد,Maata Magassa,ماتا ماغاسا,440259,
F1,91,,سيراميكا كليوباترا,J. Arthur,جاستيس أرثر,376490,
F1,91,,أولمبيك آسفي,S. El Amrani,سفيان العمراني,152456,
F1,91,,اتحاد طنجة,Z. Kiani,زكرياء كياني,179774,
F1,91,,المغرب الفاسي,M. Bouriga,محسن بوريكة,283842,
F1,91,,المغرب الفاسي,S. Chihab,صلاح الدين شهاب,230773,
F1,91,,حسنية أكادير,A. Beye,أليون بي,447891,
F1,91,,الشمال,B. Seck,بابكر سيك,307000,
F1,91,,الوكرة,M. Benyettou,محمد بن يطو,50678,
F1,91,,الوكرة,Omar Ali,عمر علي,134827,
F1,91,,العين,Sultan Al Shamsi,سلطان الشامسي,50338,
F1,91,,بني ياس,S. Ivković,ساشا إيفكوفيتش,98479,
F1,90,,الإسماعيلي,Emad Hamdy,عماد حمدي,16986,
F1,90,,الجونة,T. Ojo,تولولوبي أوجو,358047,
F1,90,,الداخلية,Zeyad Tarek,زياد طارق,296658,
F1,90,,الشرقية إنبي,Ahmed Sabeha,أحمد صبيحة,135362,
F1,90,,الشرقية إنبي,Mostafa Adel,مصطفى عادل,17226,
F1,90,,الشباب السالمي,A. Hasti,أمين حاسطي,152500,
F1,90,,الفتح,M. Bahsain,مهدي بحساين,281030,
F1,90,,المغرب الفاسي,S. Khorsa,سعد الخرصة,36684,
F1,90,,حسنية أكادير,A. Boukhanfer,عبد الله بوخانفر,364737,
F1,90,,الشمال,Salmin Atiq,سالمين عتيق,42069,
F1,90,,اتحاد كلباء,S. Moghanlou,شهريار مغانلو,89982,
F1,90,,الوصل,H. Seferović,هاريس سيفيروفيتش,582,
F1,89,,الإسماعيلي,Emad Hamdi,عماد حمدي,16986,
F1,89,,الداخلية,Abdelaziz El Sayed,عبد العزيز السيد,17302,
F1,89,,أولمبيك آسفي,F. Karmoune,فاروق الكرمون,436170,
F1,89,,اتحاد تواركة,M. Essahel,محمد الساهل,303488,
F1,89,,اتحاد طنجة,H. El Moudene,هشام المودن,354557,
F1,89,,الدحيل,Rúben Semedo,روبن سيميدو,41173,
F1,89,,الريان,Mohamed Surag,محمد سراج,334053,
F1,89,,الغرافة,Ahmed Alaa,أحمد علاء,2542,
F1,89,,الوكرة,Nabil Irfan,نبيل عرفان,339794,
F1,89,,الشارقة,Salem Saleh,سالم صالح,50496,
F1,89,,عجمان,J. Flemmings,جونيور فليمينغز,71147,
F2,88,,الشرقية إنبي,Ahmed Nader Hawash,أحمد نادر حواش,384483,
F2,88,,غزل المحلة,Abdel Kader Yehia,عبد القادر يحيى,295626,
F2,88,,فاركو,Yassin El Mallah,ياسين الملاح,482332,
F2,88,,منتخب السويس بتروجت,Ahmed Bahbah,أحمد بحبح,17313,
F2,88,,اتحاد تواركة,Y. Kajai,ياسين كجاع,437201,
F2,88,,اتحاد يعقوب المنصور,Z. Fati,زكرياء فاتي,146341,
F2,88,,الفتح,A. Mouloua,عبد الإله مولوة,303519,
F2,88,,الوداد,A. Boucheta,أيمن بوشتة,294292,
F2,88,,اتحاد كلباء,Salem Rashid,سالم راشد,50351,
F2,88,,الجزيرة الإماراتي,Zayed Al Ameri,زايد العامري,50356,
F2,88,,الوحدة الإماراتي,Allan,ألان,326,
F2,88,,عجمان,Ali Al Hosani,علي الحوسني,50430,
F2,87,,البنك الأهلي,Mahmoud El Gazzar,محمود الجزار,17026,
F2,87,,حرس الحدود,Hazem Mohamed,حازم محمد,475725,
F2,87,,زد,Aly Lotfy,علي لطفي,16798,
F2,87,,زد,Sameh Ibrahim,سامح إبراهيم,303215,
F2,87,,سيراميكا كليوباترا,Arthur Justice,جاستيس أرثر,376490,
F2,87,,غزل المحلة,Ahmed El Arabi,أحمد العربي,16909,
F2,87,,منتخب السويس بتروجت,Hady Reyad,هادي رياض,119874,
F2,87,,أولمبيك آسفي,A. Lamirat,أيوب لعميرات,335383,
F2,87,,الشباب السالمي,H. Doughmi,حمزة الدغمي,310402,
F2,87,,حسنية أكادير,S. El Moudane,سفيان المودن,61353,
F2,87,,الشمال,Y. El Hannach,يونس الحناش,336655,
F2,87,,البطائح,O. Keita,عمر كيتا,339447,
F2,87,,البطائح,U. Meleke,أولريش ميليكي,83438,
F2,87,,الوحدة الإماراتي,Mansour Saleh,منصور صالح,291347,
F2,87,,بني ياس,Youssouf Niakate,يوسف نياكاتي,8971,
F2,86,,الإسماعيلي,Abdel Karim Mostafa,عبد الكريم مصطفى,456458,
F2,86,,الزمالك,Abdallah El-Said,عبد الله السعيد,16838,
F2,86,,الشرقية إنبي,Mohamed Naser,محمد ناصر,341303,
F2,86,,المقاولون العرب,Amer Amer,عامر عامر,17087,
F2,86,,سموحة,El Hany Soliman,الهاني سليمان,16996,
F2,86,,سيراميكا كليوباترا,Khaled Sobhy,خالد صبحي,17032,
F2,86,,الفتح,M. Amri,مروان أمري,294319,
F2,86,,نهضة بركان,H. Manaout,هيثم منعوت,390389,
F2,86,,نهضة بركان,R. Hajji,رضا حجي,283435,
F2,86,,الغرافة,Yousef Saaed Ahmed,يوسف سعيد أحمد,308915,
F2,86,,البطائح,Ivonei,إيفوني,133181,
F2,86,,النصر الإماراتي,Rashed Omar,راشد عمر,50491,
F2,86,,خورفكان,A. Camara,أبوبكر كامارا,373302,
F2,86,,عجمان,Abdullah Al Junaibi,عبد الله الجنيبي,50510,
F2,85,,الأهلي المصري,Amr El Soleya,عمرو السولية,2657,
F2,85,,الأهلي المصري,Mohamed El-Shenawy,محمد الشناوي,16797,
F2,85,,الإسماعيلي,Omar El Saaiy,عمر الساعي,384478,
F2,85,,الجونة,Ahmed Abdel Rasoul,أحمد عبد الرسول,17191,
F2,85,,المصري,Islam Ateia,إسلام عطية,16888,
F2,85,,طلائع الجيش,Mohamed Camacho,محمد كاماتشو,295637,
F2,85,,النادي المكناسي,Z. Eddib,زكرياء الذيب,484770,
F2,85,,نهضة الزمامرة,A. El Bajjani,أيوب البجاني,486824,
F2,85,,نهضة الزمامرة,I. Zidani,إبراهيم زيداني,494565,
F2,85,,نهضة الزمامرة,J. Ajako,جيمس أجاكو,338140,
F2,85,,الوحدة الإماراتي,Rúben Canedo,روبن كانيدو,163218,
F2,84,,الإسماعيلي,E. Traoré,إريك تراوري,16845,
F2,84,,الاتحاد السكندري,Sobhi Soliman,صبحي سليمان,301698,
F2,84,,الداخلية,K. Chimezie,كيليتشي شيميزين,315484,
F2,84,,حرس الحدود,Emeka Eze,إيميكا إيزي,16890,
F2,84,,طلائع الجيش,Godwin Okwara,جودوين أوكوارا,292994,
F2,84,,أولمبيك آسفي,Y. Kordani,ياسين الكرداني,337444,
F2,84,,الوداد,M. Ounajem,محمد أوناجم,36552,
F2,84,,الوداد,Y. El Motie,يوسف المطيع,294703,
F2,84,,نهضة الزمامرة,Y. Faffa,يونس فافا,492578,
F2,84,,نهضة بركان,H. El Moussaoui,حمزة الموساوي,36725,
F2,84,,الأهلي,Ahmad Al Sebai,أحمد السباعي,42070,
F2,84,,الشارقة,Khaled Tawhid,خالد توحيد,359742,
F2,84,,النصر الإماراتي,Felipe Motta,فيليبي موتا,402356,
F2,83,,الإسماعيلي,Omar El Saeey,عمر الساعي,384478,
F2,83,,البنك الأهلي,Ahmed Said,أحمد سعيد,17144,
F2,83,,الشرقية إنبي,Rafik Kabou,رفيق كابو,49642,
F2,83,,المصري,Abderrahim Deghmoum,عبد الرحيم دغموم,4479,
F2,83,,زد,Ahmed Abdel Naby,أحمد عبد النبي,379614,
F2,83,,سموحة,Ahmed Hakam,أحمد حكم,354804,
F2,83,,سيراميكا كليوباترا,A. Kendouci,أحمد قندوسي,4496,
F2,83,,أولمبيك آسفي,A. Diarra,عبدولاي ديارا,152496,
F2,83,,الدفاع الحسني,K. Baba,كينغسلي بابا,302984,
F2,83,,الفتح,C. Faidi,شرف الدين فايدي,338553,
F2,83,,النادي المكناسي,M. Goullous,المهدي القلوص,380729,
F2,83,,الدحيل,Ismaeel Mohammad,إسماعيل محمد,42088,
F2,83,,الدحيل,Lucas Veríssimo,لوكاس فيريسمو,9991,
F2,83,,الشمال,Mahdi Salem,مهدي سالم,409490,
F2,83,,الغرافة,S. Sano,سيدو سانو,408219,
F2,83,,اتحاد كلباء,S. Ghoddos,سامان قدوس,2699,
F2,83,,الجزيرة الإماراتي,I. Lagrimi,إبراهيم لاغريمي,409735,
F2,83,,الجزيرة الإماراتي,M. Rabii,محمد ربيعي,158591,
F2,83,,النصر الإماراتي,Hussain Mahdi,حسين مهدي,101662,
F2,83,,الوحدة الإماراتي,Jadsom,جادسوم,80539,
F2,83,,دبا الحصن,Ali Al Dhanhani,علي الظنحاني,50262,
F2,82,,الأهلي المصري,P. Tau,بيرسي تاو,3295,
F2,82,,الأهلي المصري,Khaled Abdelfattah,خالد عبد الفتاح,181901,
F2,82,,البنك الأهلي,Ayman Ashraf,أيمن أشرف,16801,
F2,82,,البنك الأهلي,Sayed Abdallah,سيد عبد الله,342789,
F2,82,,الزمالك,Shikabala,شيكابالا,26984,
F2,82,,المصري,Hussein Al Sayed,حسين السيد,44566,
F2,82,,بيراميدز,Mohamed El Gabbas,محمد الجباس,17150,
F2,82,,منتخب السويس بتروجت,Ahmed Ghoneim,أحمد غنيم,440654,
F2,82,,الفتح,A. Mahir,أيوب ماهر,193187,
F2,82,,نهضة بركان,A. Tahif,عادل طاهيف,287434,
F2,82,,نهضة بركان,O. Lamlaoui,أسامة اللمليوي,294303,
F2,82,,نهضة بركان,M. Maftah,محمد مفتاح,146782,
F2,82,,اتحاد كلباء,Yaser Al Blooshi,ياسر البلوشي,181136,
F2,82,,الجزيرة الإماراتي,Khalifa Al Hammadi,خليفة الحمادي,50340,
F2,82,,شباب الأهلي,Harib Abdalla Suhail,حارب عبد الله سهيل,181135,
F2,82,,عجمان,I. Moumen,إسماعيل مؤمن,367668,
F2,82,,عجمان,Victor Henrique,فيكتور هنريكي,475903,
F2,81,,البنك الأهلي,Serge Aka,سيرج أكا,17038,
F2,81,,اتحاد تواركة,M. Dahak,محمد ضحاك,457100,
F2,81,,اتحاد تواركة,R. Ait Lemkadem,رضوان آيت لمقدم,385465,
F2,81,,الأهلي,Talal Abdulla Bahzad,طلال عبد الله بهزاد,181144,
F2,81,,السد,Saad Al Sheeb,سعد الشيب,2525,
F2,81,,العربي,Abdullah Murisi,عبد الله المريسي,42393,
F2,81,,العربي,M. Taabouni,محمد طابوني,36904,
F2,81,,الوكرة,Rabeh Boussafi,رابح بوسفي,42085,
F2,81,,معيذر,Saif Hassan Al Mohanadi,سيف حسن المهندي,42375,
F2,81,,الظفرة,Mohamed Al Junaibi,محمد الجنيبي,50393,
F2,81,,العين,Kouame Kouadio,كوامي كووديو,156202,
F2,81,,الوحدة الإماراتي,B. Diarra,بادارا ديارا,293313,
F2,81,,خورفكان,Adel Subeel,عادل سبيل,50699,
F2,81,,عجمان,P. Mboungou,بريستيج مبونغو,102687,
F2,80,,المصري,Amr El Saadawy,عمرو السعداوي,17027,
F2,80,,المصري,Hossam Greisha,حسام جريشة,17314,
F2,80,,طلائع الجيش,M. Diawara,موسى دياوارا,17116,
F2,80,,طلائع الجيش,Farid Shawki,فريد شوقي,16896,
F2,80,,منتخب السويس بتروجت,Mostafa El Gamal,مصطفى الجمل,17102,
F2,80,,أولمبيك آسفي,A. Kassak,أسامة كاساك,294321,
F2,80,,اتحاد تواركة,Y. Bammou,ياسين بامو,21647,
F2,80,,الرجاء,A. Baadi,عبد الكريم باعدي,2705,
F2,80,,الرجاء,Y. Belammari,يوسف بلعمري,146772,
F2,80,,نهضة بركان,M. Morabit,محمد المرابط,152476,
F2,80,,السد,Rafa Mújica,رافا موجيكا,135333,
F2,80,,الشمال,M. Omar,محمد عمر,383168,
F2,80,,الوكرة,Mohammed Al Bakri,محمد البكري,2524,
F2,80,,اتحاد كلباء,Salim Rashid Obaid,سالم راشد عبيد,295968,
