old_name,keep_name,confidence,note
S. Abu Al Shamat,Saleh Abu Al Shamat,مؤكد,صالح أبو الشامات [صُحِّح الاسم المعروض]
S. Ahmed,Salem Ahmed,مؤكد,سالم أحمد [صُحِّح الاسم المعروض]
Salem Al-Dawsari,Salem Al Dawsari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
A. Hamed Allah,A. Hamed-Allah,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
João Félix,Joao Felix,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Fabio Martins,Fábio Martins,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
M. Dembélé,Moussa Dembélé,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py) [صُحِّح الاسم المعروض]
Abdullah Al-Salem,Abdullah Al Salem,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Omar Al-Somah,Omar Al Somah,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
G. N'Koudou,G. Nkoudou,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Joao Pedro,João Pedro,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Tozé,Toze,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
H. Al-Dardour,H. Al Dardour,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Saleh Al-Amri,Saleh Al Amri,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Saleh Al-Shehri,Saleh Al Shehri,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
M. Al-Attar,M. Al Attar,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Otavio,Otávio,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Alex Collado,Álex Collado,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Claudio Maradona,Cláudio Maradona,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
N. Nández,N. Nandez,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
F. Kessié,F. Kessie,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
F. Késsié,F. Kessie,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
K. Toko Ekambi,K. Toko-Ekambi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Lázaro,Lazaro,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Thani,Mohammed Al Thani,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Turki Al-Ammar,Turki Al Ammar,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Ângelo,Angelo,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Carlos Junior,Carlos Júnior,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Hammam Al-Hammami,Hammam Al Hammami,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
M. Brozovic,M. Brozović,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
A. Sbai,A. Sbaï,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdulaziz Al-Othman,Abdulaziz Al Othman,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Alvaro Medran,Álvaro Medrán,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
M. Saâdane,Marwane Saadane,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py) [صُحِّح الاسم المعروض]
Mohammed Al-Kuwaykibi,Mohammed Al Kuwaykibi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Qahtani,Mohammed Al Qahtani,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
A. Al-Essawi,A. Al Essawi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Ali Al-Hassan,Ali Al Hassan,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
I. Kone,I. Koné,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Kaio Cesar,Kaio César,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
M. Al Laham,M. Al-Laham,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Fatil,Mohammed Al Fatil,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Sultan Al-Ghannam,Sultan Al Ghannam,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Zakaria Al-Sudani,Zakaria Al Sudani,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdulelah Al-Amri,Abdulelah Al Amri,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdulhadi Al-Harajin,Abdulhadi Al Harajin,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdullah Al Ammar                                 ,Abdullah Al Ammar,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdullah Al-Hafith,Abdullah Al Hafith,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdullah Al-Hamdan,Abdullah Al Hamdan,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Ahmed Al-Ghamdi,Ahmed Al Ghamdi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Fahad Al-Muwallad,Fahad Al Muwallad,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Hamed Al-Ghamdi,Hamed Al Ghamdi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Hisham Al-Dubais,Hisham Al Dubais,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
K. Al-Awaqleh,K. Al Awaqleh,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
M. Al-Akash,M. Al-akash,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Marwan Al-Sahafi,Marwan Al Sahafi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Matheus Gonçalves,Matheus Goncalves,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Nasser Al-Dawsari,Nasser Al Dawsari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Yaseen Al-Zubaidi,Yaseen Al Zubaidi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Ziyad Al-Sahafi,Ziyad Al Sahafi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
A. Al-Azzam,A. Al Azzam,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdulaziz Al-Shahrani,Abdulaziz Al Shahrani,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdullah Al-Fahad,Abdullah Al Fahad,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdullah Al-Khaibari,Abdullah Al Khaibari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdulmalek Al-Shammari,Abdulmalek Al Shammari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Ahmed Al-Juwaid,Ahmed Al Juwaid,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Ali Al-Asmari,Ali Al Asmari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Ali Al-Salem,Ali Al Salem,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Ali Al-Zaqan,Ali Al Zaqan,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Awn Al-Saluli,Awn Al Saluli,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Bassem Al-Arini,Bassem Al Arini,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Faisal Al-Ghamdi,Faisal Al Ghamdi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Flavio,Flávio,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
G. Alvarez,G. Álvarez,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Hamdan Al-Shamrani,Hamdan Al Shamrani,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Hamed Al-Maghati,Hamed Al Maghati,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Hassan Al-Habib,Hassan Al Habib,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
I. Al-Rowwad,I. Al Rowwad,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Burayk,Mohammed Al Burayk,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Muteb Al-Mufarrij,Muteb Al Mufarrij,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Nawaf Al-Habashi,Nawaf Al Habashi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Nawaf Al-Harthi,Nawaf Al Harthi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Omar Al-Ruwaili,Omar Al Ruwaili,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Saad Al-Nasser,Saad Al Nasser,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Samú Costa,Samu Costa,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Sattam Al-Roqi,Sattam Al Roqi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Yahia Al-Shehri,Yahia Al Shehri,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Yasir Al-Shahrani,Yasir Al Shahrani,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
E. Mendy,É. Mendy,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdulaziz Al-Bishi,Abdulaziz Al Bishi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdulaziz Al-Faraj,Abdulaziz Al Faraj,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdulaziz Al-Harbi,Abdulaziz Al Harbi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdulelah Al-Malki,Abdulelah Al Malki,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdullah Al-Anazi,Abdullah Al Anazi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdullah Al-Dossari,Abdullah Al Dossari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdullah Al-Hawsawi,Abdullah Al Hawsawi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdullah Al-Jadani,Abdullah Al Jadani,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdullah Al-Qahtani,Abdullah Al Qahtani,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdullah Al-Shanqiti,Abdullah Al Shanqiti,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdulmajeed Al-Sulaiheem,Abdulmajeed Al Sulaiheem,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdulrahman Al-Dosari,Abdulrahman Al Dosari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Abdulrahman Al-Obaid,Abdulrahman Al Obaid,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Ahmed Al-Julaydan,Ahmed Al Julaydan,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Ahmed Al-Kassar,Ahmed Al Kassar,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Ahmed Al-Nakhli,Ahmed Al Nakhli,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Amin Al-Bukhari,Amin Al Bukhari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Arif Al-Haydar,Arif Al Haydar,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Awad Al-Nashri,Awad Al Nashri,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Ayman Al-Hussaini,Ayman Al Hussaini,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Bassam Al-Hurayji,Bassam Al Hurayji,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Fahad Al-Johani,Fahad Al Johani,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Fahad Al-Rashidi,Fahad Al Rashidi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Farhan Al-Azmi,Farhan Al Azmi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Fawaz Al-Qarni,Fawaz Al Qarni,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Hamad Al-Jayzani,Hamad Al Jayzani,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Hamed Al-Shanqiti,Hamed Al Shanqiti,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Hassan Al-Amri,Hassan Al Amri,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Hassan Al-Asmari,Hassan Al Asmari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Hassan Hashim Al Ali,Hassan Hashim Al-Ali,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Ibrahim Al-Zubaidi,Ibrahim Al Zubaidi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Inigo Martinez,Iñigo Martínez,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Khalid Al-Asiri,Khalid Al Asiri,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Khalid Al-Ghannam,Khalid Al Ghannam,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Khalifah Al-Dawsari,Khalifah Al Dawsari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Khalil Al-Absi,Khalil Al Absi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
M. Rodák,M. Rodak,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Madallah Al-Olayan,Madallah Al Olayan,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mansor Al-Beshe,Mansor Al Beshe,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Marwan Al-Haidari,Marwan Al Haidari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Absi,Mohammed Al Absi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Dosari,Mohammed Al Dosari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Fuhaid,Mohammed Al Fuhaid,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Khabrani,Mohammed Al Khabrani,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Khaibari,Mohammed Al Khaibari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Mahasneh,Mohammed Al Mahasneh,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Majhad,Mohammed Al Majhad,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Owais,Mohammed Al Owais,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Qarni,Mohammed Al Qarni,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Qunaian,Mohammed Al Qunaian,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Rubaie,Mohammed Al Rubaie,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Saiari,Mohammed Al Saiari,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Shaeri,Mohammed Al Shaeri,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Shanqiti,Mohammed Al Shanqiti,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mohammed Al-Yami,Mohammed Al Yami,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Moteb Al-Harbi,Moteb Al Harbi,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Moussa Dembele,Moussa Dembélé,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
Mubarak Al-Buainain,Mubarak Al Buainain,مؤكد,توحيد آلي — فرق لكنة أو شرطة أو مسافة (auto_merge_names.py)
